# episodes,genre,network,rating,s_rating,title,cast
20,"['9g', '18g', '23g', '1040g', '1041g', '26g']",SBS,9.06,PG-13,Doctor Stranger,
16,"['23g', '1g', '7g']",tvN,9.67,PG-13,Lawless Lawyer,
16,"['23g', '18g', '9g']",tvN,8.73,PG-13,Cheese In The Trap,
20,"['9g', '23g', '18g', '1038g', '6g']",SBS,9.46,PG-13,Dear Fair Lady Kong Shim,
32,"['6g', '9g', '23g', '18g']",SBS,9.14,PG-13,The Undateables,
79,"['10g', '1044g', '6g', '1042g']",MBC,9.3,PG-13,Home Alone,
16,"['9g', '23g', '18g', '6g']",MBC,9.51,PG-13,Shopping King Louie,
16,"['9g', '23g', '1g', '18g']",tvN,9.33,PG-13,The K2,
21,"['6g', '9g', '18g', '23g']",tvN,9.19,PG-13,Emergency Couple,
52,"['9g', '23g', '1041g', '18g']",KBS,9.26,PG-13,My Golden Life,
187,"['6g', '10g', '1042g', '1044g', '1055g']",KBS,9.49,PG-13,2 Days and 1 Night,
16,"['6g', '23g', '9g', '18g', '1038g', '17g']",SBS,9.23,PG-13,You’re Beautiful,
82,"['10g', '1044g', '6g', '1042g']",SBS,9.29,PG-13,My Little Old Boy,
54,"['23g', '1041g', '9g', '24g', '6g']",KBS,9.65,PG-13,Five Children,
10,"['1045g', '23g', '1038g']",Naver TV,8.71,PG-13,Wind-bell,
13,"['18g', '23g']",Channel A,8.2,PG-13,Twelve Nights,
18,"['26g', '23g', '1g', '9g', '19g']",SBS,9.41,PG-13,I Hear Your Voice,
16,"['9g', '23g', '1046g']",MBC,9.51,PG-13,Angry Mom,
20,"['6g', '23g', '18g', '9g', '19g']",SBS,8.87,PG-13,"Hyde, Jekyll, Me",
20,"['1038g', '18g', '23g', '24g', '6g', '9g']",tvN,9.63,PG-13,Reply 1988,
51,"['1037g', '9g', '23g']",MBC,9.24,PG-13,The Flower in Prison,
83,"['1044g', '1042g', '10g', '6g']",SBS,9.26,PG-13,Law of the Jungle,
20,"['9g', '23g', '1040g', '1041g']",KBS2,9.63,PG-13,Good Doctor,
16,"['18g', '23g', '9g', '1038g', '1041g']",SBS,8.55,PG-13,High Society,
50,"['9g', '24g', '18g', '23g']",KBS,8.89,PG-13,Marry Me Now,
32,"['1g', '7g', '23g', '9g', '26g']",MBC,9.03,NC-17,Less than Evil,
16,"['14g', '9g', '1053g', '23g', '6g', '1041g', '1038g']",MBC,9.09,PG-13,"Jang Geum, Oh My Grandma",
10,"['8g', '14g', '1042g']",tvN,9.2,PG-13,Little House in the Forest,
18,"['24g', '9g', '23g']",KBS,8.65,PG-13,Liver or Die,
32,"['12g', '26g', '18g', '23g', '9g']",KBS,9.06,PG-13,Lovely Horribly,
20,"['6g', '23g', '9g', '18g', '25g', '1038g']",KBS2,9.38,PG-13,Sungkyunkwan Scandal,
21,"['9g', '1040g', '18g', '23g']",SBS,9.61,PG-13,Romantic Doctor Kim,
16,"['1053g', '18g', '23g', '6g', '9g']",MBC,9.3,PG-13,My Name Is Kim Sam Soon,
16,"['7g', '9g', '18g', '19g', '23g']",SBS,9.2,PG-13,The Girl Who Sees Smells,
20,"['9g', '18g', '23g', '1041g']",SBS,9.32,PG-13,Mask,
20,"['23g', '18g', '7g', '1041g']",SBS,9.58,PG-13,Remember,
16,"['12g', '18g', '19g', '23g', '6g', '9g']",tvN,9.31,PG-13,"Bring It On, Ghost",
16,"['23g', '18g', '6g', '9g']",KBS,9.37,PG-13,Jugglers,
16,"['12g', '23g', '18g', '19g', '9g']",tvN,9.41,PG-13,Oh My Ghostess,
28,"['23g', '18g', '9g']",SBS,9.07,PG-13,Shining Inheritance,
10,"['18g', '9g', '23g', '1045g', '6g', '1038g']",SBS Plus,9.45,PG-13,Wednesday 3:30 PM,
21,"['9g', '23g', '1037g', '18g']",TV Chosun,9.27,PG-13,Grand Prince,
50,"['9g', '23g', '1041g', '1046g']",SBS,9.38,PG-13,I Have a Lover,
16,"['24g', '19g', '18g', '23g']",tvN,9.38,PG-13,Familiar Wife,
54,"['23g', '9g', '25g', '3g', '1040g', '1053g']",MBC,9.67,PG-13,Jewel in the Palace,
12,"['6g', '19g', '23g', '1038g', '18g']",KBS,8.54,PG-13,Orange Marmalade,
18,"['6g', '12g', '18g', '9g', '23g']",tvN,9.4,PG-13,Another Oh Hae Young,
17,"['6g', '17g', '23g', '1038g', '9g', '18g']",KBS,9.21,PG-13,Dream High,
32,"['9g', '1041g', '7g', '18g', '23g']",MBC,9.22,PG-13,Time,
14,"['1g', '7g', '23g']",OCN,9.6,PG-13,The Player,
32,"['18g', '26g', '23g', '9g', '7g']",KBS,9.31,PG-13,The Ghost Detective,
16,"['6g', '9g', '18g', '23g', '24g']",KBS,9.12,PG-13,Full House,
11,"['1044g', '10g', '17g']",SBS,9.28,PG-13,THE FAN,
50,"['9g', '23g', '1041g']",MBC,8.96,PG-13,Monster,
18,"['1044g', '10g']",MBC,9.0,PG-13,The Real Men 300,
81,"['18g', '9g', '23g', '1037g']",MBC,9.48,PG-13,Jumong,
32,"['9g', '23g', '26g', '7g']",SBS,9.45,PG-13,Your Honor,
16,"['23g', '6g', '1041g', '9g', '18g', '19g']",SBS,9.38,PG-13,"Please Come Back, Mister",
141,"['10g', '17g', '1044g', '1032g']",MBC,8.63,PG-13,The King of Mask Singer,
16,"['6g', '18g', '23g', '1038g']",tvN,9.32,PG-13,"Marriage, Not Dating",
20,"['23g', '9g', '18g', '7g', '1041g']",KBS,9.24,PG-13,The Innocent Man,
16,"['6g', '9g', '23g', '18g']",MBC,9.5,PG-13,She Was Pretty,
77,"['9g', '23g', '1037g']",MBC,9.26,PG-13,Yi San,
20,"['9g', '23g', '18g', '1037g']",KBS,9.47,PG-13,Queen for Seven Days,
16,"['26g', '7g', '9g', '23g']",KBS,9.63,PG-13,MAD DOG,
17,"['9g', '23g']",KBS,9.27,PG-13,School 2013,
20,"['6g', '9g', '23g', '1038g']",KBS,9.56,PG-13,Chief Kim,
31,"['1037g', '23g', '25g', '9g']",MBC,9.71,PG-13,Rebel: Thief Who Stole the People,
16,"['6g', '18g', '9g', '23g']",MBC,9.32,PG-13,Lucky Romance,
100,"['24g', '1041g', '9g', '23g']",MBC,8.12,PG-13,The Rich Son,
52,"['9g', '23g', '6g']",MBC,9.21,PG-13,Jang Bo Ri Is Here,
14,"['23g', '9g', '1040g', '26g']",KBS,9.61,PG-13,Beautiful Mind,
16,"['6g', '23g', '9g', '18g', '19g', '1038g']",KBS,8.47,PG-13,Big,
50,"['1041g', '18g', '9g', '23g', '24g']",MBC,8.91,PG-13,Glamorous Temptation,
32,"['1041g', '9g', '23g']",KBS,9.26,PG-13,Your House Helper,
50,"['23g', '18g', '9g', '24g', '1041g']",KBS,8.98,PG-13,You Are The Best,
40,"['9g', '23g', '7g', '1041g']",SBS,9.29,PG-13,Let Me Introduce Her,
32,"['9g', '23g', '26g', '1g']",MBC,9.4,PG-13,The Guardian,
40,"['23g', '18g', '19g', '9g']",SBS,9.33,PG-13,Into the World Again,
16,"['1038g', '1045g', '1053g', '18g', '23g', '9g']",SBS Plus,8.95,PG-13,I Order You,
18,"['9g', '19g', '23g', '18g']",tvN,9.72,PG-13,Chicago Typewriter,
