,rating,title,user
0,10,My Strange Hero,lilmeowmeow
1,10,My Strange Hero,autumnrocks0_641
2,10,My Strange Hero,amiriroma_780
3,10,My Strange Hero,bailey1
4,9,My Strange Hero,videocamelia_208
5,10,My Strange Hero,neidecaner_341
6,10,My Strange Hero,185379889056684_994
7,10,My Strange Hero,506227136465687_458
8,10,My Strange Hero,robbyramdath11_14
9,9,My Strange Hero,foreverforever
10,10,My Strange Hero,dminhas11_262
11,10,My Strange Hero,abhayonly98_889
12,10,My Strange Hero,gleyka_rafaela
13,10,My Strange Hero,_lenouxx
14,10,My Strange Hero,smcgonagle71_215
15,10,My Strange Hero,elhamelham000_117
16,10,My Strange Hero,srivastavameenu130_716
17,5,My Strange Hero,slksrkhrr
18,10,My Strange Hero,fabalan13_179
19,10,My Strange Hero,zgonsalez24_677
20,10,My Strange Hero,aerichoi
21,10,My Strange Hero,pante_1986_768
22,10,My Strange Hero,virasill_6
23,10,My Strange Hero,10153960798395954_401
24,10,My Strange Hero,raaaaaachet
25,10,My Strange Hero,cjewel74_748
26,10,My Strange Hero,alexa752002_314
27,10,My Strange Hero,www_olimpicat96_612
28,10,My Strange Hero,taslimanachrin_998
29,10,My Strange Hero,pharmgal
30,10,My Strange Hero,sam9266_136
31,10,My Strange Hero,holachica87_160
32,10,My Strange Hero,analujan01
33,10,My Strange Hero,330300894093295_931
34,10,My Strange Hero,d_kinley_322
35,10,My Strange Hero,maryann_cady605_420
36,10,My Strange Hero,elyfa
37,10,My Strange Hero,nora200713_834
38,10,My Strange Hero,anyonebme_387
39,10,My Strange Hero,genesis07_rivera_58
40,10,My Strange Hero,tkunsel002_300
41,10,My Strange Hero,dabrockett_354
42,10,My Strange Hero,mahmoodaashna_190
43,10,My Strange Hero,maartjevg
44,10,My Strange Hero,roth_chou
45,10,My Strange Hero,zairatanveer29_302
46,10,My Strange Hero,rashikaushik36_984
47,10,My Strange Hero,1821708654802458_99
48,10,My Strange Hero,sunshineblossoms
49,10,My Strange Hero,1934291386863447_437
50,10,My Strange Hero,kookiedookie
51,6,My Strange Hero,jenny_truong_448
52,10,My Strange Hero,1766590013425895_753
53,10,My Strange Hero,larubi_01_392
54,10,My Strange Hero,anjalijarvis_493
55,10,My Strange Hero,herfyjo
56,10,My Strange Hero,ktb540000_670
57,10,My Strange Hero,ahmadmaryam960_861
58,10,My Strange Hero,mamathaanumula7036_860
59,10,My Strange Hero,aimi19
60,10,My Strange Hero,sonugolden123_47
61,10,My Strange Hero,lospringles
62,10,My Strange Hero,jesmadyg_76
63,10,My Strange Hero,jackietron14_646
64,10,My Strange Hero,1kpopfan__
65,10,My Strange Hero,daniellacsrocha2006_693
66,10,My Strange Hero,almasjavi20012019_694
67,9,My Strange Hero,maatnfer_780
68,10,My Strange Hero,huda_buddha
69,10,My Strange Hero,clarisse_2000_878
70,10,My Strange Hero,319808965442633_355
71,10,My Strange Hero,yugytaeminmx_193
72,10,My Strange Hero,attdesikari9_910
73,10,My Strange Hero,angyaskonyak_662
74,10,My Strange Hero,syiemwendy_285
75,10,My Strange Hero,wendy080818carrizoza_447
76,10,My Strange Hero,sthefannysousa36_186
77,9,My Strange Hero,10206456976141636_438
78,10,My Strange Hero,johanna_ambu_493
79,10,My Strange Hero,sarzmohamud_694
80,10,My Strange Hero,csllmelinda_45
81,10,My Strange Hero,nataliagoldsteinmusi_70
82,10,My Strange Hero,amsdpvsf_280
83,10,My Strange Hero,alessia_ale_539
84,10,My Strange Hero,gretababi89_302
85,10,My Strange Hero,saratwin
86,10,My Strange Hero,kimiejpg
87,10,My Strange Hero,2292959004319755_231
88,10,My Strange Hero,apollinedbt_976
89,10,My Strange Hero,sauriom_133
90,10,My Strange Hero,nareshyama_16
91,10,My Strange Hero,trisong6_718
92,10,My Strange Hero,melinda1001_698
93,6,My Strange Hero,seiya_ylva
94,10,My Strange Hero,camille25045407_589
95,10,My Strange Hero,lara_oberderfer_493
96,10,My Strange Hero,selidoempreendimento_74
97,10,My Strange Hero,najette69_757
98,10,My Strange Hero,kimberly_mendoza_sal_147
99,10,My Strange Hero,pratimakumeti861_454
100,10,My Strange Hero,a_aninhaap4_700
101,10,My Strange Hero,alissafernqndez_359
102,10,My Strange Hero,lizetty0692_150
103,1,My Strange Hero,Biffo
104,10,My Strange Hero,kawtharbou44_784
105,4,My Strange Hero,nonopicaut31_71
106,7,My Strange Hero,andrea_780
107,10,My Strange Hero,anggiespiggies0606_819
108,5,My Strange Hero,korerang
109,8,My Strange Hero,graceadadasilva_964
110,10,My Strange Hero,revsparklyandroid
111,10,My Strange Hero,jlz999
112,10,My Strange Hero,leilaamandag_961
113,10,My Strange Hero,2287198564897109_724
114,10,My Strange Hero,anahi_sagi14_758
115,10,My Strange Hero,maycvalenzuela_51
116,10,My Strange Hero,2211674519104529_679
117,9,My Strange Hero,maddyson_627
118,8,My Strange Hero,dglee25_956
119,10,My Strange Hero,himanshu_mzf_747
120,10,My Strange Hero,brendammas_346
121,10,My Strange Hero,155775825066173_974
122,10,My Strange Hero,lucassilvadebiagi_908
123,10,My Strange Hero,rachelhong03_649
124,10,My Strange Hero,btsluver26_420
125,10,My Strange Hero,1206058579550083_858
126,10,My Strange Hero,sanchezangelina021_278
127,6,My Strange Hero,ee_england_984
128,10,My Strange Hero,eloj02_516
129,10,My Strange Hero,isa_adora_343
130,10,My Strange Hero,1391064127606445_400
131,10,My Strange Hero,imcylo
132,10,My Strange Hero,antonello4_651
133,10,My Strange Hero,jaylanejohnson2005_533
134,9,My Strange Hero,shalombayitdebbie_134
135,9,My Strange Hero,ophelia1968_8
136,10,My Strange Hero,xxkallxx5_841
137,10,My Strange Hero,435268600262601_413
138,10,My Strange Hero,priscaportella_18
139,10,My Strange Hero,nagarohanifa_944
140,10,My Strange Hero,aayoubbey_152
141,10,My Strange Hero,lillypepper42_575
142,9,My Strange Hero,epayne
143,10,My Strange Hero,s_a_ashraf01_846
144,10,My Strange Hero,theosita
145,10,My Strange Hero,loreninha_yukazinha_598
146,10,My Strange Hero,kiaracaballero_548
147,10,My Strange Hero,veradodehielolobo_815
148,10,My Strange Hero,marie_emily0214_336
149,10,My Strange Hero,lauraarangocorrea_522
150,10,My Strange Hero,lilla_cc22_333
151,10,My Strange Hero,joshnart_449
152,10,My Strange Hero,rakhinaidu06_744
153,10,My Strange Hero,maleehashafi17_415
154,10,My Strange Hero,ellygardea_936
155,9,My Strange Hero,342934152972474_144
156,10,My Strange Hero,abhishekgangwar8921_256
157,10,My Strange Hero,ssohal386_623
158,10,My Strange Hero,nayakabhinanda1998_3
159,10,My Strange Hero,chantall1908
160,10,My Strange Hero,saakshimoolya1372_355
161,10,My Strange Hero,lopezsan_555_598
162,10,My Strange Hero,kriyaagarwal77_339
163,10,My Strange Hero,dgtamayo027_772
164,10,My Strange Hero,rahisashaikh328_117
165,10,My Strange Hero,voffi0407
166,8,My Strange Hero,olivilivi419_568
167,10,My Strange Hero,mehtopkak
168,10,My Strange Hero,roba_boba85_397
169,10,My Strange Hero,tuneslooney85_170
170,1,My Strange Hero,djones1619_525
171,9,My Strange Hero,mohanageetha1997_777
172,10,My Strange Hero,marinapolo5c_527
173,10,My Strange Hero,abdellaouiihssane220_253
174,10,My Strange Hero,erlgen27_514
175,10,My Strange Hero,katecassandra162305_931
176,10,My Strange Hero,112299139339502_648
177,10,My Strange Hero,zebaakhtar2518_516
178,10,My Strange Hero,raquelnobre_rj395_349
179,10,My Strange Hero,emmanuellefang9_270
180,10,My Strange Hero,lsdiaz55_818
181,10,My Strange Hero,sams75
182,10,My Strange Hero,134660534154820_944
183,10,My Strange Hero,anshika_sahay19_410
184,1,My Strange Hero,priorlindac_98
185,10,My Strange Hero,523903271443247_157
186,10,My Strange Hero,jesy_182_13_284
187,10,My Strange Hero,kimberlyamor13_490
188,10,My Strange Hero,trinbin2345_185
189,10,My Strange Hero,jacintakins_123
190,10,My Strange Hero,xarahlee1952_967
191,10,My Strange Hero,rozborski_angela_298
192,10,My Strange Hero,bmwlvr2_963
193,10,My Strange Hero,sarihs
194,10,My Strange Hero,nilarai15_532
195,10,My Strange Hero,maria_grigorio1029_434
196,10,My Strange Hero,nivas_programmer_276
197,10,My Strange Hero,333521393860842_866
198,10,My Strange Hero,xuanvu11_420
199,10,My Strange Hero,rosanaca2009_456
200,3,My Strange Hero,bangbejoe
201,10,My Strange Hero,pdisha020_739
202,8,My Strange Hero,neelam_nk1996_43
203,10,My Strange Hero,revnicanemona001_840
204,10,My Strange Hero,tezza
205,10,My Strange Hero,naokosuk_333
206,10,My Strange Hero,joshua_m
207,10,My Strange Hero,pthanvi96_963
208,10,My Strange Hero,crabha0612_759
209,10,My Strange Hero,jdinher
210,10,My Strange Hero,victoriaveronica2005_927
211,9,My Strange Hero,giovanna_gandolfo8_233
212,10,My Strange Hero,purehoney171_71
213,10,My Strange Hero,261250494595556_664
214,10,My Strange Hero,Carogggg
215,10,My Strange Hero,rkbkiran2000_435
216,10,My Strange Hero,sidhantojha484_574
217,5,My Strange Hero,dhtndus_537
218,10,My Strange Hero,familia_oliveira_979
219,10,My Strange Hero,littlewind_76_511
220,10,My Strange Hero,aaminanajeeb2005_320
221,10,My Strange Hero,lenelyn_mata_295
222,10,My Strange Hero,catiacosta2014_34
223,10,My Strange Hero,khadijaaaaaaax
224,8,My Strange Hero,113051206248166_506
225,10,My Strange Hero,margaret_h600
226,10,My Strange Hero,franci3311_625
227,10,My Strange Hero,rabiyahzulfi_169
228,10,My Strange Hero,angela_h_le_506
229,10,My Strange Hero,karenarmas20_735
230,10,My Strange Hero,arunalatha594_456
231,10,My Strange Hero,jessikapsg_1804
232,10,My Strange Hero,benoykr_713
233,10,My Strange Hero,primavera292__836
234,10,My Strange Hero,mhizsamantha56_39
235,10,My Strange Hero,miriam_jennings_474
236,5,My Strange Hero,134425997569570_382
237,10,My Strange Hero,462159380850067_935
238,10,My Strange Hero,ritikahiwale0279_399
239,10,My Strange Hero,583746422071194_944
240,10,My Strange Hero,gobren091396_651
241,7,My Strange Hero,1901144830153469_357
242,10,My Strange Hero,asmidanu7_311
243,10,My Strange Hero,kashimajhajharia03_242
244,10,My Strange Hero,hollandnatalie522_435
245,10,My Strange Hero,621324514934462_295
246,10,My Strange Hero,catlover100479_323
247,10,My Strange Hero,389753528458718_118
248,10,My Strange Hero,russ_hansen_392
249,9,My Strange Hero,smitch
250,10,My Strange Hero,yodameka_152
251,8,My Strange Hero,yda_toribio_322
252,10,My Strange Hero,brice7irene_359
253,10,My Strange Hero,zehra_akbar_daimi_985
254,10,My Strange Hero,aliciadhovee99_835
255,10,My Strange Hero,andrealetellier27390_820
256,10,My Strange Hero,jazzy_o_o
257,10,My Strange Hero,nipah_
258,10,My Strange Hero,tanitatikaran223_219
259,1,My Strange Hero,shilpambamahapatro_139
260,10,My Strange Hero,irisdosreislbf_640
261,10,My Strange Hero,dikshamanu_md_770
262,10,My Strange Hero,jotryte_628
263,10,My Strange Hero,sunflower18
264,10,My Strange Hero,all_faith7_19
265,10,My Strange Hero,unidas_kimchi_601
266,10,My Strange Hero,jennifer_shirk_551
267,9,My Strange Hero,bouba_ad14_987
268,10,My Strange Hero,gomesgenarioana_454
269,10,My Strange Hero,salesarsenia1441_906
270,10,My Strange Hero,romanisandra364_940
271,10,My Strange Hero,1071897416318621_493
272,10,My Strange Hero,kater_vlahaki_662
273,1,My Strange Hero,1808243499497558_791
274,10,My Strange Hero,avdbrink1994_73
275,8,My Strange Hero,i8ter2
276,10,My Strange Hero,elsiefehr7_343
277,10,My Strange Hero,ohiovonda_645
