# episodes,genre,network,rating,s_rating,title,cast,director,screenwriter
20,Historical Romance Drama KoreanDrama IdolDrama,Kbs,9.62,PG-13,Hwarang,"ParkSeoJoon GoAra ParkHyungSik ChoiMinho DoJiHan JoYoonWoo ""KimTaehyung(BTSsV)"" SungDongIl KimJiSoo ChoiWonYoung SeoYeJi LeeDaIn JinJuHyung",YunSeongSik,ParkEunYoung
22,Drama Romance Sci-Fi&Fantasy KoreanDrama,Sbs,9.63,PG-13,My Love From the Star,JunJiHyun KimSooHyun ParkHaeJin YooInNa ShinSungRok AhnJaeHyun NaYoungHee KimKangHyun LeeIlHwa KimBoMi KimHyunSoo,JangTaeYoo OhChoongHwan,ParkJiEun
32,Romance Comedy WebDrama KoreanDrama,Xtvn,9.35,PG-13,Revenge Note 2,Samuel AhnSeoHyun KimSoHee JiMinHyuk KimJiYoung ParkHeeJin SeoYuri ParkSeoYeon SungJiRu JungJungAh JungMinKyu,OhSeungYul SeoJaeJoo,HanSangIm KimJongSun ShimMiSun
25,Comedy KoreanDrama Drama Romance,Kbs2,9.43,PG-13,Boys Over Flowers,LeeMinHo KuHyeSun KimHyunJoong KimBum KimJoon ParkJiBin NamDaReum ParkSooJin KimSoEun KimHyunJoo HanChaeYoung ImJooHwan AhnSukHwan SeoMinJi,YasuharuIshii OsamuKatayama DaisukeYamamuro,YokoKamio YukiFujimoto
32,Drama KoreanDrama IdolDrama Melodrama Thriller&Suspense Romance,Mbc,9.33,PG-13,Tempted,WooDoHwan Joy MoonGaYoung KimMinJae(1996) KimSeoHyung ShinSungWoo JeonMiSun MoonHeeKyung LeeYoungJin OhHaNee TaeHangHo KimAhRa LeeJaeKyoon JungHaDam ShinChangJoo KimDoWan KwonYil,KangIn LeeDongHyun,PierreChoderlosdeLaclos KimBoYeon
20,Action&Adventure Drama KoreanDrama Romance,Kbs,9.77,PG-13,Healer,YooJiTae ParkMinYoung JiChangWook WooHyun JungJunWon KimMiKyung ParkSangMyun ParkSangWon DoJiWon,LeeJungSub KimJinWoo,SongJiNa
52,IdolDrama Romance KoreanDrama Family&Kids Comedy Drama,Kbs,9.69,PG-13,Father Is Strange,LeeYooRi RyuSooYoung LeeJoon JungSoMin RyuHwayoung KimHaeSook KimYoungChul MinJinWoong JungJunWon LeeMiDo AhnHyoSeop LeeJoonHyuk KimDaYe,LeeJaeSang,LeeJungSun
20,Comedy Drama Romance KoreanDrama Melodrama,Mbc,9.56,PG-13,Fated to Love You,ChoiWooShik WangJiWon ChoiJinHyuk JangNara JangHyuk KimYoungHoon ParkHeeBon JungKyuSoo ChoiDaeChul JangGwang ParkJinWoo Clara SongOkSook JungEunPyo LeeMiDo ImHyungJoon ParkWonSook JungHanHun KimYongGun NaYoungHee ParkHeeJin YangKeumSuk YunMiJoo HanGyu,LeeDongYoon KimHeeWon,JooChanOk JoJinKuk
64,Melodrama Drama Family&Kids KoreanDrama,Mbc,8.96,PG-13,My Healing Love,SoYooJin YeonJungHoon YoonJongHoon KimChangWan KilYongWoo JungAeRi ParkJoonGeum HwangYoungHee KwonSoHyun KimSoRa SoJuYeon KangDaHyun BanHyoJung,KimSungYong,WonYoungOk
16,KoreanDrama Romance,Tvn,9.66,PG-13,Because This Is My First Life,LeeMinKi JungSoMin KimGaEun ParkByungEun Esom MoonHeeKyung KimMinSuk JunHyeWon YoonBomi KimSunYoung(1976) KimByungOk NohJongHyun KimMinKyu,ParkJoonHwa,YoonNanJoong
16,Romance Drama KoreanDrama IdolDrama Melodrama,Tvn,9.56,PG-13,The Smile Has Left Your Eyes,SeoInGuk JungSoMin ParkSungWoong SeoEunSoo LeeHongbin DoSangWoo LeeJiMin GoMinSi HanSaMyung ParkMinJung KimSeoKyung JangYoungNam ChoiByungMo KwonSooHyun,YooJeWon,SongHyeJin
20,Drama KoreanDrama Romance,Sbs,9.51,PG-13,Pinocchio,LeePilMo ParkShinHye LeeJongSuk LeeYooBi KimYoungKwang MinSungWook YoonKyunSang LeeJooSeung KimHaeSook KimYoungHoon KimKwangGyu YeoHoeHyun JungInKi NamDaReum ShinJaeHa JangYoungNam ShinJungGeun KangShinIl NohJungUi JinKyung ByunHeeBong TaeHangHo,JoSooWon,ParkHyeRyun
16,KoreanDrama IdolDrama Melodrama Drama Romance,Jtbc,9.63,PG-13,Just Between Lovers,Junho WonJinAh LeeKiWoo KangHanNa KimMinKyu ParkMyungShin ParkHeeBon YoonSeAh KimKangHyun NaMoonHee TaeInHo ParkSiEun(2001) NamDaReum HanSeoJin(2008) AhnNaeSang ParkKyuYoung YoonYooSun NamGiAe KimHyeJoon KimNamJin,KimJinWon,YooBoRa
38,Drama KoreanDrama Comedy Romance Food&Cooking,Sbs,9.36,PG-13,Wok of Love,JangHyuk JungRyeoWon Junho LeeMiSook JoJaeYoon ParkJiYoung ChaJooYoung JangHuiRyoung LeeKiHyuk TaeHangHo KimHyunJun ChaInHa ChoiWonMyeong KimSaKwon ImWonHee OhEuiSik HongYoonHwa,ParkSunHo HamJoonHo,SeoSookHyang
16,Drama KoreanDrama Romance Comedy,Kbs,9.62,PG-13,Fight My Way,ParkSeoJoon KimJiWon AhnJaeHong SongHaYoon JinJiHee ChaeDongHyun PyoYeJin KimSungOh JinHeeKyung SonByungHo KwakDongYeon ChoiWooShik HwangBoRa LeeElijah KimYeRyung,LeeNaJeong,ImSangChoon
20,MedicalDrama Romance KoreanDrama Drama,Sbs,9.3,PG-13,Doctors,KimRaeWon ParkShinHye YoonKyunSang LeeSungKyung JiSoo KimMinSuk BaekSungHyun LeeSunHo JungHaeKyun JeonGookHwan JangHyunSung UhmHyoSup KimKangHyun YoonHaeYoung MoonJiIn YooDaIn KimYoungAe HanBoBae NamgoongMin PyoYeJin,OhChoongHwan ParkSooJin,HaMyungHee
19,Historical KoreanDrama Romance Drama IdolDrama,Kbs,9.63,PG-13,Moonlight Drawn by Clouds,ParkBoGum KimYooJung Jinyoung(B1A4) ChaeSooBin JungHyeSung KwakDongYeon JangGwang ParkChulMin KimSeungSoo ChunHoJin LeeJoonHyuk HeoJungEun TaeHangHo,KimSungYoon BaekSangHoon,YoonYiSoo kk KimMinJung ImYeJin
20,IdolDrama Romance Sci-Fi&Fantasy KoreanDrama,Tvn,9.65,PG-13,Hwayugi,LeeSeungGi ChaSeungWon OhYeonSeo LeeHongKi LeeSeYoung LeeEl KimSungOh SungJiRu JangGwang KimJiSoo SongJongHo SungHyuk MichaelLee ONE Bora LeeSoYeon,ParkHongKyun KimJungHyun KimByungSoo,HongJungEun HongMiRan
32,Thriller&Suspense Romance Crime&Mystery Drama KoreanDrama,Mbc,9.49,PG-13,Come and Hug Me,JangKiYong JinKiJoo HeoJoonHo RyuHanBi NamDaReum ChoiRi YoonJiHye LeeDaIn JungDaHye YoonJongHoon KimKyungNam KwonHyukSoo,ChoiJoonBae,LeeARam
32,Crime&Mystery Thriller&Suspense Drama KoreanDrama,Mbc,9.53,PG-13,Children of Nobody,LeeYiKyung KimSunAh NamGyuRi N NaYoungHee KimYoungJae JooSukTae KimYeoJin YeonJaeHyeong KimPubLae KimYoungJae OhHyeWon HaEunSoo,ChoiJungKyu,DoHyunJung
12,Sci-Fi&Fantasy Romance Comedy,KbsW,9.34,PG-13,When Time Stopped,KimHyunJoong AnJiHyun LeeShiHoo InGyoJin JooSukTae ImHaRyong GoEunMi KimSieun BaekSangHee YooEunJin KimYangWoo,KwakBongCheol,JiHoJin
20,Sci-Fi&Fantasy KoreanDrama Drama Romance Melodrama Comedy,Sbs,9.38,PG-13,Secret Garden,YoonSangHyun HaJiWon HyunBin KimSaRang LeeJongSuk KimSungOh YooInNa LeePhilip KimDongGyoon KangChanYang YoonGiWon KimSaHee ParkJoonGeum Beige KimGun BaekSeungHee ChoiYoonSo KimSungKyum SungByungSook NamHyunJoo KimJiSook JangSeoWon YooSeoJin BaekJiYoung KimMiKyung LeeByungJoon,ShinWooCheol KwonHyukChan KimJungHyun,KimEunSook
12,Sci-Fi&Fantasy Romance Comedy KoreanDrama IdolDrama,ChannelA,8.2,PG-13,"Coffee, Do Me a Favor",YongJunhyung KimMinYoung ChaeSeoJin LeeTaeRi GilEunHye RyuHyeRin MaengSeChang KimNeulMae,ParkSooChul,SeoBoRa LeeAYeon
17,KoreanDrama IdolDrama Romance,Mbn Dramax,8.84,PG-13,"Rich Man, Poor Woman",Suho HaYeonSoo OhChangSuk KimYeWon(1987) LeeJaeJin ParkSungHoon YoonDaYoung,MasakiNishiura RyoTanaka,NaokoAdachi
33,Comedy Romance Drama KoreanDrama Sci-Fi&Fantasy Melodrama,Kbs,9.33,PG-13,Feel Good To Die,BaekJinHee KangJiHwan GongMyung InGyoJin ParkSolMi RyuHyunKyung LeeByungJoon KimMinJae JungMinAh,LeeEunJin,Goldkiwisae ImSeoRa
20,Horror&Supernatural MedicalDrama Sci-Fi&Fantasy Romance KoreanDrama Action&Adventure,Kbs2,9.18,PG-13,Blood,AhnJaeHyun KuHyeSun JiJinHee KimKapSoo RyuSooYoung KwonHyunSang SohnSuHyun JoJaeYoon JungHaeIn,KiMinSoo,ParkJaeBum
24,Comedy KoreanDrama Drama Romance Sci-Fi&Fantasy,Mbc,9.1,PG-13,Goong,KimJeongHoon YoonEunHye JooJiHoon SongJiHyo LeeYoonJi ImYeJin KangNamGil ChoiSungJoon(1983) LeeYeonDoo YoonYooSun ShimHyeJin KimHyeJa JunSooYun WonMiWon LeeHoJae KimSuk LeeEun RyuShiHyun ChoiBoolAm JangMiHee JunJiAe LeeYongJoo ParkChanHwan,HwangInRoe KimDoHyung,InEunA ParkSoHee
13,VarietyShow Entertainment,Mbc,9.44,PG-13,UNDER NINETEEN,KimSoHyun Eunhyuk Solji Crush Gaeko Choiza,[],[]
16,IdolDrama Drama KoreanDrama Romance,Kbs,9.4,PG-13,School 2017,KimSejeong KimJungHyun(1990) JangDongYoon HanSunHwa HanJooWan ParkSeWan Rowoon ChoiSungMin SeolInAh SungJiRu ParkChulMin LeeJaeYong LeeJongWon MinSungWook,ParkJinSuk,JungChanMi KimSeungWon
16,KoreanDrama Romance Thriller&Suspense IdolDrama,Kbs2,9.38,PG-13,Who Are You,KimSoHyun NamJooHyuk YookSungjae LeePilMo KimMinSuk KimBoRa JungSooYoung JungInKi ParkHwanHee LeeDavid,BaekSangHoon,KimHyunJung KimMinJung ImYeJin
32,Drama Romance KoreanDrama Melodrama,Mbc,9.25,PG-13,Hotel King,Alex LeeDaHae LeeDongWook WangJiHye ImSeulong ParkChulMin LeeJooYeon KimYeWon LeeDeokHwa LeeDoYun JiIlJoo KimHaeSook N YooGun GoYoon KimSunYoung(1976) JinTaeHyun ChoiSangHoon GongHyunJoo JungSukYong LeeSangMi KimSunHyuk KimKyuSun GooBonIm SeoYiAhn,KimDaeJin Ashbun,JoEunJung
16,Romance KoreanDrama IdolDrama,Tvn,8.52,PG-13,Mama Fairy and the Woodcutter,MoonChaeWon YoonHyunMin SeoJiHoon KangMina AhnYoungMi GoDooShim JunSooJin HwangYoungHee AhnKilKang KimMinKyu(1988),KimYunCheol,DolBae YooKyungSun
16,Comedy KoreanDrama Drama Romance,Mbc,9.02,PG-13,Playful Kiss,LeeTaeSung LeeSiYoung KimHyunJoong JungSoMin YoonSeungAh AbigailAlderete ChoiWonHong KangNamGil,HwangInRoe KimDoHyung KimJungHyun,KoEunNim KaoruTada
12,Sci-Fi&Fantasy Romance IdolDrama KoreanDrama,Mbn,9.3,PG-13,Witch's Love,HyunWoo YoonSoHee LeeHongbin KimYoungOk GoSooHee ChoiJaeSup ChoiTaeHwan,ParkChanYool,SonEunHye
12,Romance Comedy Action&Adventure WebDrama IdolDrama KoreanDrama,Oksusu,9.33,PG-13,Revenge Note 1,ChaEunWoo ParkSolomon KimHyangGi KimHwanHee JiGeonWoo ParkMiSun LeeDooIl ParkKyungLim HwangTaeKwang,SeoWonTae,HanSangIm KimJongSun
20,Comedy Romance MedicalDrama KoreanDrama,Mbc,9.73,PG-13,Kill Me Heal Me,OhMinSeok KimYooRi ParkSeoJoon HwangJungEum JiSung ChoiWonYoung LeeSiEon KimHeeJung GoChangSuk AhnNaeSang ParkJoonGyu,KimJinMan,JinSooWan
