cast,title
"['Choi Jin Hyuk', 'Song Ji Hyo', 'Lee Pil Mo', 'Choi Yeo Jin', 'Park Ji Il', 'Jun Soo Kyung', 'Jun Soo Jin', 'Park Doo Shik', 'Yoon Jong Hoon', 'Clara', 'Park Joon Geum', 'Kwon Min', 'Choi Bum Ho', 'Kim Kang Hyun', 'Kang Shin Il', 'Lee Mi Young', 'Im Hyun Sung', 'Lee Sun Ah']",Emergency Couple
"['Park Shi Hoo', 'Shin Hye Sun', 'Lee Tae Hwan', 'Seo Eun Soo', 'Yoo In Young', 'Lee Tae Sung', 'Jeon No Min', 'Kim Hye Ok', 'Chun Ho Jin', 'Na Young Hee', 'Choi Gwi Hwa', 'Shin Hyun Soo']",My Golden Life
"['Cha Tae Hyun', 'Jung Joon Young', 'Kim Jong Min', 'Defconn', 'Kim Joon Ho', 'Yoon Shi Yoon']",2 Days and 1 Night
"['Lee Hong Ki', 'Park Shin Hye', 'Jung Yong Hwa', 'Uee', 'Jang Geun Suk', 'Kim Sung Ryung', 'Jung Chan', 'Kim In Kwon', 'Jang Won Young', 'Kang Soo Han', 'Choi Ran', 'Bae Geu Rin']",You’re Beautiful
"['Park Soo Hong', 'Kim Jong Kook', 'Tony An', 'Kim Gun Mo', 'Lee Sang Min', 'Lee Sun Mi', 'Ji In Sook', 'Lim Yeo Soon', 'Lee Ok Jin', 'Cho Hye Sun', 'Shin Dong Yup', 'Seo Jang Hoon']",My Little Old Boy
"['Ahn Jae Wook', 'So Yoo Jin', 'Sung Hoon', 'Shin Hye Sun', 'Shim Hyung Tak', 'Im Soo Hyang', 'An Woo Yeon', 'Shim Yi Young', 'Wang Bit Na', 'Kwon Oh Joong']",Five Children
"[""Kwon Mina (AoA's Min A)"", 'Jinyoung (B1A4)', 'Park Hyun Sook', 'Yoon Ji Wook', 'Lee Seung Wook']",Wind-bell
"['Shin Hyun Soo', 'Han Seung Yeon', 'Jang Hyun Sung', 'Lee Gun Woo', 'Kim Bum Jin', 'Hwang So Hee', 'Kim Lee Kyung', 'Cha Soo Yun', 'Ye Soo Jung', 'Lee Ye Eun', 'Hong Jin Ki', 'Yoo Jun Hong']",Twelve Nights
"['Lee Jong Suk', 'Lee Bo Young', 'Yoon Sang Hyun', 'Jung Woong In', 'Lee Da Hee', 'Goo Seung Hyun', 'Han Ki Woong', 'Yoon Joo Sang', 'Han Ki Won', 'Jo Duk Hyun', 'Ahn Moon Sook', 'Park Doo Shik', 'Yeo Ho Min', 'Jung Dong Hwan', 'Kim Kwang Gyu', 'Kim Byung Ok', 'Kim Soo Yun', 'Choi Sung Joon (1983)', 'Jung Min Ah', 'Lee Jung Hyuk', 'Kim Ki Chun', 'Kim So Hyun', 'Kim Mi Kyung', 'Kim Hae Sook', 'Jang Hee Woong', 'Kim Ga Eun', 'Jang Hee Soo', 'Kim Soo Yeon']",I Hear Your Voice
"['Kim Hee Sun', 'Kim Yoo Jung', 'Ji Hyun Woo', 'Baro', 'Ji Soo', 'Park Soo Ah', 'Kim Tae Hoon', 'Im Hyung Joon', 'Go Soo Hee', 'Jeon Gook Hwan', 'Oh Yoon Ah', 'Park Young Gyu', 'Suh Ji Hee', 'Kang Moon Young']",Angry Mom
"['Sung Joon', 'Hyeri', 'Hyun Bin', 'Han Ji Min', 'Lee Deok Hwa', 'Lee Won Geun', 'Lee Seung Joon', 'Lee Joon Hyuk', 'Kwak Hee Sung']","Hyde, Jekyll, Me"
"['Hyeri', 'Park Bo Gum', 'Ryu Jun Yeol', 'Go Kyung Pyo', 'Lee Dong Hwi', 'Ryu Hye Young', 'Ahn Jae Hong', 'Choi Sung Won', 'Sung Dong Il', 'Lee Il Hwa', 'Ra Mi Ran', 'Kim Sung Kyun', 'Choi Moo Sung', 'Kim Sun Young (1976)', 'Yoo Jae Myung', 'Lee Min Ji (1988)', 'Lee Se Young (1989)']",Reply 1988
"['Go Soo', 'Jin Se Yeon', 'Jung Joon Ho', 'Park Joo Mi', 'Kim Mi Sook', 'Yoon Joo Hee', 'Choi Tae Joon', 'Kim Soo Yun', 'Jung Eun Pyo', 'Park Gil Soo', 'Shorry', 'Jung Da Bin (2000)', 'Lee Hee Do', 'Kim Hyung Bum', 'Oh Na Ra', 'Kim Min Kyung', 'Kim Soo Yeon']",The Flower in Prison
['Kim Byung Man'],Law of the Jungle
"['Kim Young Kwang', 'Kim Min Seo', 'Joo Sang Wook', 'Moon Chae Won', 'Joo Won', 'Jin Kyung', 'Go Chang Suk', 'Kim Hyun Soo', 'Jung Man Sik', 'Kwak Ji Min', 'Yoon Yoo Sun', 'Jo Hee Bong', 'Choi Ro Woon', 'Kim Chang Wan', 'Chun Ho Jin', 'Wang Ji Won', 'Na Young Hee', 'Yoo Hae Jung', 'Ban Min Jung', 'Kwak Do Won', 'Yoon Park', 'Moon Hee Kyung', 'Uhm Hyun Kyung', 'Jung Yoon Suk', 'Seo Hyun Chul', 'Lee Ki Yeol', 'Jung Ho Keun']",Good Doctor
"['Sung Joon', 'Uee', 'Park Hyung Sik', 'Lim Ji Yeon', 'Lee Sang Woo']",High Society
"['Lee Sang Woo', 'Han Ji Hye', 'Yeo Hoe Hyun', 'Park Joon Geum', 'Park Sun Young', 'Jang Mi Hee', 'Yoo Dong Geun', 'Choi Jung Woo', 'Kim Mi Kyung', 'Jung Chae Yeon', 'Kim Kwon', 'Park Se Wan', 'Park Sang Myun', 'Choi Dae Chul', 'Hwang Dong Joo', 'Lee Ji Hoon (1979)', 'Kim Ye Ryung', 'Geum Sae Rok', 'Kang Sung Wook', 'Kim Yoon Kyung', 'Seo Yeon Woo', 'Kim Woo Hyuk']",Marry Me Now
"['Shin Ha Kyun', 'Lee Seol', 'Baro', 'Bae Da Bin', 'Hong Eun Hee', 'Kim Gun Woo', 'Bae Yoo Ram', 'Park Ho San', 'Yang Gi Won']",Less than Evil
"['Shin Dong Wook', 'Kwon Yuri', 'Kim Hyun Joon', 'Lee Yul Eum', 'Ki Do Hoon', 'Lee Minhyuk', 'Jeong Yi Rang', 'Lee Hye Jung', 'Kim Ki Ri']","Jang Geum, Oh My Grandma"
"['Park Shin Hye', 'So Ji Sub']",Little House in the Forest
"['Lee Si Young', 'Oh Ji Ho', 'Jeon Hye Bin', 'Yoo Joon Sang', 'Lee Chang Yeob', 'Shin Dong Mi', 'Park In Hwan', 'Song Jong Ho', 'Choi Dae Chul', 'Choi Sung Jae', 'Lee Sang Sook', 'Lee Bo Hee', 'Kim Ji Young', 'Ki Eun Se']",Liver or Die
"['Park Shi Hoo', 'Song Ji Hyo', 'Lee Gi Kwang', 'Ham Eun Jung', 'Choi Yeo Jin', 'Ji Seung Hyun', 'Moon Su Bin', 'Jang Young Nam', 'Hwang Sun Hee', 'Sung Doo Sup', 'Jeon Bae Soo']",Lovely Horribly
"['Song Joong Ki', 'Seo Hyo Rim', 'Yoo Ah In', 'Park Min Young', 'Park Yoochun', 'Ahn Nae Sang', 'Kim Mi Kyung', 'Lee Tae Ri', 'Kim Kap Soo', 'Jo Sung Ha', 'Jun Tae Soo', 'Ryu Dam', 'Park Chul Min', 'Lee Jae Yong', 'Im Yoon Jung', 'Nam Myung Ryul', 'Kim Ik Tae', 'Joo Ah Sung', 'Jang Se Hyun', 'Kim Ha Kyoon', 'Kim Kwang Gyu', 'Kim Min Seo', 'Lee In', 'Kim Jung Kyoon', 'Kim Dong Yoon', 'Chae Byung Chan', 'Han Yun', 'Hwang Chan Woo', 'Lee Dal Hyung', 'Im Young Pil', 'Park Geun Soo', 'Kang Sung Pil', 'Jung Hye Mi', 'Bang Joon Seo', 'Choi Dong Joon', 'Park Dong Bin', 'Kim Young Bae', 'Sung Hyun Joo', 'Kim Dan Yool']",Sungkyunkwan Scandal
"['Han Suk Kyu', 'Yoo Yeon Seok', 'Seo Hyun Jin', 'Kim Min Jae (1996)', 'Jin Kyung', 'Im Won Hee', 'Kim Hong Fa', 'Byun Woo Min', 'Jang Hyuk Jin', 'Lee Young E', 'Yang Se Jong']",Romantic Doctor Kim
"['Hyun Bin', 'Kim Sun Ah', 'Daniel Henney', 'Jung Ryeo Won', 'Lee Kyu Han', 'Lee Ah Hyun', 'Na Moon Hee', 'Kwon Hae Hyo', 'Yoon Ye Hee', 'Kim Ja Ok', 'Han Yeo Woon', 'Yeo Woon Kye', 'Suh Ji Hee']",My Name Is Kim Sam Soon
"['Namgoong Min', 'Yoon Jin Seo', 'Song Jong Ho', 'Shin Se Kyung', 'Park Yoochun', 'Kim So Hyun', 'Jung In Ki', 'Park Jin Joo', 'Choi Tae Joon']",The Girl Who Sees Smells
"['Lee Ho Won', 'Soo Ae', 'Yeon Jung Hoon', 'Joo Ji Hoon', 'Hwang Seok Jeong', 'Yoo In Young', 'Jo Yoon Woo']",Mask
"['Yoo Seung Ho', 'Park Min Young', 'Namgoong Min', 'Park Sung Woong', 'Jung Hye Sung', 'Kim Hyung Bum', 'Shin Jae Ha', 'Han Bo Bae', 'Shin Hyun Soo']",Remember
"['Taecyeon', 'Kim So Hyun', 'Kwon Yool', 'Kim Sang Ho', 'Kang Ki Young', 'Son Eun Seo', 'Lee David']","Bring It On, Ghost"
"['Baek Jin Hee', 'Daniel Choi', 'Kang Hye Jung', 'Lee Won Geun', 'Cha Joo Young', 'Cha Soon Bae', 'Kim Ki Bang', 'In Gyo Jin', 'Kim Chang Wan', 'Jung Soo Young', 'Lee Ji Ha', 'Jung Sung Ho', 'Jung Hye In', 'Song Ji Ho']",Jugglers
"['Jo Jung Suk', 'Park Bo Young', 'Im Joo Hwan', 'Kim Seul Gi', 'Park Jung Ah', 'Kwak Si Yang', 'Shin Hye Sun', 'Kang Ki Young', 'Choi Min Chul', 'Lee Dae Yeon', 'Lee Jung Eun', 'Shin Eun Kyung']",Oh My Ghostess
"['Lee Seung Gi', 'Moon Chae Won', 'Bae Soo Bin', 'Han Hyo Joo', 'Choi Jung Woo', 'Yeon Jun Suk', 'Min Young Won', 'Jung Suk Won', 'Lee Seung Hyung', 'Ban Hyo Jung', 'Son Yeo Eun', 'Baek Seung Hyun', 'Jun In Taek', 'Yoo Ji In', 'Min Joon Hyun', 'Tae Hwang', 'Han Ye Won', 'Kim Mi Sook']",Shining Inheritance
"['Lee Hongbin', 'Jin Ki Joo', 'Cha Jung Won', 'Ahn Bo Hyun', 'Jo Seung Hee']",Wednesday 3:30 PM
"['Yoon Shi Yoon', 'Joo Sang Wook', 'Jin Se Yeon', 'Son Ji Hyun (1990)', 'Ryu Hyoyoung', 'Yoon Seo', 'Shin Yi', 'Moon Ji In', 'Choi Sung Jae', 'Son Byung Ho', 'Yang Mi Kyung', 'Oh Seung Ah', 'Kim Mi Kyung', 'Lee Ki Young', 'Jae Ho', 'Choo Soo Hyun', 'Han Jae Suk (1991)', 'Kim Bum Jin']",Grand Prince
"['Ji Jin Hee', 'Kim Hyun Joo', 'Lee Kyu Han', 'Park Han Byul', 'Na Young Hee', 'Lee Jae Yoon', 'Gong Hyung Jin']",I Have a Lover
"['Han Ji Min', 'Ji Sung', 'Jang Seung Jo', 'Kang Han Na', 'N', 'Park Hee Bon', 'Lee Yoo Jin', 'Son Jong Hak', 'Kim So Ra', 'Gong Min Jung', 'Park Won Sang']",Familiar Wife
"['Ji Jin Hee', 'Lee Young Ae', 'Im Ho', 'Park Eun Hye', 'Hong Ri Na']",Jewel in the Palace
"['Song Jong Ho', 'Seolhyun', 'Lee Jong Hyun', 'Yeo Jin Goo', 'Gil Eun Hye', 'Lee Il Hwa']",Orange Marmalade
"['Eric Mun', 'Seo Hyun Jin', 'Jeon Hye Bin', 'Kim Ji Suk', 'Lee Jae Yoon', 'Ye Ji Won', 'Huh Jung Min', 'Heo Young Ji', 'Nam Gi Ae']",Another Oh Hae Young
"['Taecyeon', 'IU', 'Wooyoung', 'Suzy', 'Ham Eun Jung', 'Kim Soo Hyun', 'Lee Yoon Ji', 'Bae Noo Ri', 'Bae Yong Joon', 'Nichkhun', 'Lee Byung Joon', 'Uhm Ki Joon', 'JOO', 'Choi Il Hwa', 'Park Hyuk Kwon', 'Park Jin Young', 'Ahn Kil Kang', 'Ahn Sun Young', 'Ahn Seo Hyun', 'Goo Joon Yup', 'Yoon Young Ah', 'Baek Won Kil', 'Han Ji Hoo', 'Lee Yoon Mi']",Dream High
"['Kim Jung Hyun (1990)', 'Seohyun', 'Hwang Seung Eon', 'Kim Jun Han', 'Kim Jung Tae', 'Choi Duk Moon', 'Kim Hee Jung', 'Jun Soo Kyung', 'Choi Jong Hwan', 'An Ji Hyun']",Time
"['Song Seung Heon', 'Krystal Jung', 'Lee Si Eon', 'Tae Won Suk', 'Kim Won Hae', 'Kim Hyung Muk', 'Ahn Se Ho']",The Player
"['Lee Ji Ah', 'Park Eun Bin', 'Daniel Choi', 'Lee Joo Young', 'Kim Won Hae', 'Lee Jae Kyoon', 'Shin Jae Ha', 'Park Joo Hee', 'Hyeon Bong Sik', 'Kim Min Sang']",The Ghost Detective
"['Kim Sung Soo', 'Han Da Gam', 'Rain', 'Song Hye Kyo', 'Lee Young Eun']",Full House
"['Yu Hui Yeol', 'BoA', 'Lee Sang Min', 'Kim Ea Na']",THE FAN
"['Kang Ji Hwan', 'Sung Yuri', 'Park Ki Woong', 'Claudia Kim', 'Lee Gi Kwang', 'Jo Bo Ah', 'Lee Yul Eum', 'Jung Bo Suk', 'Park Young Gyu', 'Lee Deok Hwa', 'Jin Tae Hyun', 'Kim Hye Eun', 'Jung Woong In', 'Lee El']",Monster
"['Lisa', 'Hongseok', 'Kang Ji Hwan', 'Viktor An', 'Oh Yoon Ah', 'Lee Yoo Bi', 'Kim Jae Hwa', 'Shin Ji', 'Kim Ho Young', 'Lucas', 'Ravi (of VIXX)', 'Choi Yoon Young', 'Narsha', 'Shownu', 'Kim Hee Jung (1992)']",The Real Men 300
"['Song Il Gook', 'Han Hye Jin', 'Kim Seung Soo', 'Song Ji Hyo', 'Oh Yun Soo', 'Jun Kwang Ryul', 'Jung Ho Bin', 'Heo Joon Ho', 'Bae Soo Bin']",Jumong
"['Yoon Shi Yoon', 'Lee Yoo Young', 'Park Byung Eun', 'Nara', 'Yoon Na Moo', 'Sung Dong Il', 'Kim Kang Hyun', 'Heo Sung Tae', 'Park Ji Hyun']",Your Honor
"['Rain', 'Lee Min Jung', 'Oh Yeon Seo', 'Yoon Park', 'Kim Soo Ro', 'Kim In Kwon', 'Honey Lee', 'Choi Won Young', 'Ra Mi Ran', 'Lee Tae Hwan', 'Park Min Woo', 'Ryu Hwayoung', 'Park In Hwan', 'Lee Moon Shik', 'Park Chul Min', 'Kang Ki Young', 'Yeo Hoe Hyun']","Please Come Back, Mister"
"['Kim Gura', 'Kim Sung Joo', 'Shin Bong Sun', 'Heo Kyung Hwan', 'Kim Min Suk', 'Kim Min Suk', 'Kim Myung Soo (L)', 'Yoon Bomi']",The King of Mask Singer
"['Julien Kang', 'Han Sun Hwa', 'Yeon Woo Jin', 'Han Groo', 'Jeong Jinwoon', 'Yoon So Hee', 'Park Joon Gyu', 'Kim Young Ok', 'Kim Kap Soo', 'Im Ye Jin', 'Choi Hyun', 'Lee Bo Hee', 'Huh Jung Min', 'Kim Hae Sook', 'Park Hee Jin']","Marriage, Not Dating"
"['Lee Kwang Soo', 'Moon Chae Won', 'Lee Sang Yeob', 'Park Si Yeon', 'Lee Yoo Bi', 'Song Joong Ki', 'Kim Tae Hoon']",The Innocent Man
"['Park Seo Joon', 'Hwang Jung Eum', 'Choi Siwon', 'Go Jun Hee', 'Park Yoo Hwan', 'Lee Il Hwa', 'Ahn Se Ha', 'Hwang Seok Jeong', 'Shin Hye Sun', 'Im Ji Hyun', 'Seo Jeong Yeon']",She Was Pretty
"['Lee Seo Jin', 'Han Ji Min', 'Lee Jong Soo', 'Park Eun Hye', 'Lee Hee Do', 'Song Chang Eui', 'Lee Soon Jae', 'Jang Hee Woong', 'Lee Jae Yong', 'Jo Yun Woo', 'Han In Soo', 'Kyun Mi Ri', 'Kim Yeo Jin', 'Im Hyun Shik', 'Park Ji Bin', 'Jo Kyung Hwan', 'Lee Sook', 'Son Il Kwon', 'Jung Ho Keun', 'Kim So Yi', 'Sung Hyun Ah', 'Seo Bum Shik']",Yi San
"['Park Min Young', 'Yeon Woo Jin', 'Lee Dong Gun', 'Chansung', 'Kang Ki Young', 'Jang Hyun Sung', 'Do Ji Won', 'Baek Seung Hwan', 'Son Eun Seo', 'Kang Shin Il', 'Go Bo Gyeol', 'Park Si Eun (2001)', 'Song Ji In']",Queen for Seven Days
"['Yoo Ji Tae', 'Woo Do Hwan', 'Ryu Hwayoung', 'Hong Soo Hyun', 'Jo Jae Yoon', 'Jang Hyuk Jin', 'Park In Hwan', 'Jung Bo Suk', 'Kim Hye Sung', 'Choi Won Young', 'Lee Joon Hyuk']",MAD DOG
"['Kim Woo Bin', 'Park Se Young', 'Daniel Choi', 'Jang Nara', 'Lee Jong Suk', 'Gil Eun Hye', 'Ahn Ji Hyun', 'Ahn Hye Kyung', 'Shin Hye Sun', 'Yoon Joo Sang', 'Uhm Hyo Sup', 'Jun Soo Jin', 'Ryu Hyoyoung', 'Jung Yeon Joo', 'Lee Yi Kyung', 'Lee Ji Hoon', 'Kim Chang Hwan', 'Lee Han Wi', 'Kim Young Choon', 'Kim Dong Suk', 'Lee Yun Kyung', 'Kim Na Woon', 'Oh Young Shil', 'Kim Hae Rim', 'Park Hae Mi', 'Da Ni', 'Kwak Jung Wook', 'Choi Chang Yeob']",School 2013
"['Namgoong Min', 'Nam Sang Mi', 'Junho', 'Jung Hye Sung', 'Lee Il Hwa', 'Kim Won Hae', 'Park Young Gyu', 'Dong Ha', 'Kim Min Sang (1968)', 'Im Hwa Young', 'Park Ji Il', 'Kim Seon Ho']",Chief Kim
"['Yoon Kyun Sang', 'Kim Sang Joong', 'Chae Soo Bin', 'Honey Lee', 'Kim Ji Suk', 'Lee Soo Min', 'Jung Da Bin (2000)', 'Kim Jung Hyun (1990)', 'Kim Jung Tae', 'Kim Byung Ok', 'Hwang Seok Jeong', 'Lee Joon Hyuk', 'Park Ji Il', 'Park Eun Suk']",Rebel: Thief Who Stole the People
"['Ryu Jun Yeol', 'Hwang Jung Eum', 'Lee Chung Ah', 'Lee Soo Hyuk']",Lucky Romance
"['Kim Ji Hoon', 'Kim Joo Hyun', 'Lee Kyu Han', 'Hong Soo Hyun', 'Kim Young Ok', 'Jung Bo Suk', 'Yoon Yoo Sun', 'Kang Nam Gil', 'Lee Seung Yeon', 'Woo Hyun', 'Jun Soo Kyung', 'Park Jae Jung', 'Park Soon Chun', 'Yoon Chul Hyung', 'Lee Chang Yeob', 'Kim Min Kyu', 'Elkie', 'Yang Hye Ji', 'Shim Eun Jin']",The Rich Son
"['Oh Chang Suk', 'Lee Yoo Ri', 'Kim Ji Hoon', 'Oh Yeon Seo', 'Sung Hyuk', 'Ahn Nae Sang', 'Choi Dae Chul', 'Park Gun Il']",Jang Bo Ri Is Here
"['Jang Hyuk', 'Park So Dam', 'Yoon Hyun Min', 'Park Se Young', 'Ryu Seung Soo', 'Oh Jung Se', 'Heo Joon Ho', 'Lee Jae Ryong', 'Min Sung Wook', 'Shim Yi Young', 'Jang Hyuk Jin', 'Dong Ha', 'Jang Ki Yong']",Beautiful Mind
"['Gong Yoo', 'Lee Min Jung', 'Baek Sung Hyun', 'Jang Hee Jin', 'Suzy', 'Go Soo Hee', 'Shin Won Ho', 'Jang Hyun Sung', 'Choi Ro Woon', 'Ahn Suk Hwan', 'Im Ji Eun', 'Sora Jung', 'Yoon Hae Young', 'Moon Ji Yoon', 'Choi Ran', 'Shin Ji Soo']",Big
"['Joo Sang Wook', 'Choi Kang Hee', 'Nam Joo Hyuk', 'Kim Sae Ron', 'Cha Ye Ryun', 'Kim Bo Ra', 'Jung Jin Young', 'Na Young Hee', 'Kim Mi Kyung', 'Jo Yun Woo', 'Park Jung Ah', 'Kim Ho Jin', 'Kal So Won', 'Jang Young Nam', 'Lee Jae Yoon', 'Jung Sung Yoon', 'Dong Ha']",Glamorous Temptation
"['Ha Seok Jin', 'Bona', 'Lee Ji Hoon', 'Go Won Hee', 'Jun Soo Jin', 'Seo Eun Ah', 'Jo Hee Bong', 'Yoon Joo Sang', 'Lee Min Young', 'Lee Do Gyeom', 'Lim Ji Kyu']",Your House Helper
"['Lee Ji Hoon (1979)', 'IU', 'Jo Jung Suk', 'Yoo In Na', 'Ko Joo Won', 'Son Tae Young', 'Lee Ji Hoon', 'Lee Mi Sook', 'Go Doo Shim', 'Jung Woo']",You Are The Best
"['Nam Sang Mi', 'Kim Jae Won', 'Jo Hyun Jae', 'Lee Mi Sook', 'Han Da Gam', 'Jeong Jinwoon', 'Yang Jin Sung', 'Lee Shi Ah', 'Lee Ho Jung', 'Kang Hoon']",Let Me Introduce Her
"['Kim Young Kwang', 'Lee Si Young', 'Kim Tae Hoon', 'Kim Seul Gi', 'Key', 'Shin Dong Wook', 'Park Solomon']",The Guardian
"['Yeo Jin Goo', 'Lee Yeon Hee', 'Ahn Jae Hyun', 'Lee Si Eon', 'Jung Chae Yeon', 'Kwak Dong Yeon', 'Park Jin Joo', 'Choi Sung Min', 'Yoon Sun Woo']",Into the World Again
"['Jung Yunho', 'Kim Ga Eun', 'Baek Jong Won', 'Jo Yoon Woo', 'Jang Seung Jo']",I Order You
"['Yoo Ah In', 'Im Soo Jung', 'Go Kyung Pyo', 'Kwak Si Yang', 'Yang Jin Sung', 'Jo Woo Jin', 'Chun Ho Jin', 'Jun Soo Kyung']",Chicago Typewriter
"['Lee Philip', 'Kim Hee Sun', 'Lee Min Ho', 'Ryu Deok Hwan', 'Kim Mi Kyung', 'Sung Hoon', 'Park Se Young', 'Yoon Kyun Sang']",The Great Doctor
"['Ki Tae Young', 'Eugene', 'Jung Suk Won', 'Ryu Sang Wook', 'Park Soon Chun', 'Yoon Joo Hee', 'Ban Hyo Jung', 'Choi Sang Hoon', 'Kang Nam Gil', 'Yang Hee Kyung', 'Lee Hee Do', 'Kang Byul', 'Clara', 'Byun Woo Min', 'Im Hyun Shik', 'Lee Jung Hoon', 'Geum Bo Ra', 'Hwang Eun Hye', 'Lee Do Young']",Creating Destiny
"['Lee Seo Jin', 'Uee', 'Kim Young Pil', 'Kim Yoo Ri', 'Kim Yong Gun', 'Park Jung Soo', 'Lee Hwi Hyang', 'Kim Kwang Gyu', 'Shin Lin Ah', 'Pyo Ye Jin']",Marriage Contract
"['Song Chang Eui', 'Park Shin Hye', 'Kang Min Hyuk', 'So Yi Hyun', 'Jung Yong Hwa', 'Moon Ga Young', 'Kim Seul Gi', 'Lee Hyun Jin']",Heartstrings
"['Lee Yoo Ri', 'Song Chang Eui', 'Uhm Hyun Kyung', 'Kim Young Min', 'Jung Hye Sun', 'Yoon Joo Sang', 'Lee Jong Won', 'Jo Mi Ryung', 'Lee Won Jong', 'Ahn Bo Hyun']",Hide and Seek
"['Yoo Ah In', 'Shin Se Kyung', 'Byun Yo Han', 'Yoon Kyun Sang', 'Kim Myung Min', 'Park Hyuk Kwon', 'Gong Seung Yeon', 'Kim Hee Jung', 'Jung Yu Mi (1984)', 'Nam Da Reum', 'Ha Jun', 'Lee Ji Hoon', 'Lee Joon Hyuk', 'Han Ye Ri', 'Jin Seon Kyu', 'Park Si Eun (2001)', 'Kim Eui Sung', 'Jo Hee Bong']",Six Flying Dragons
"['Kim Min Jong', 'Kim Ha Neul', 'Lee Jong Hyuk', 'Kim Soo Ro', 'Jang Dong Gun', 'Kim Sun Hwa', 'Lee Jong Hyun', 'Kim Yoon Seo', 'Kim Dong Gyoon', 'Jo Jae Yoon', 'Kim Kwang Gyu', 'Kim Woo Bin', 'Kim Sung Oh', 'Kim Sa Hee', 'Park Joo Mi', 'Nam Hyun Joo', 'Yoon Jin Yi', 'Yoon Se Ah', 'Lee Yong Yi', 'Park Ah In', 'Jung Soo In', 'Ahn Jae Min']",A Gentleman’s Dignity
"['Lee Soon Jae', 'Kim Ja Ok', 'Hwang Jung Eum', 'Shin Se Kyung', 'Daniel Choi', 'Yoon Shi Yoon', 'Jung Bo Suk', 'Oh Hyun Kyung', 'Julien Kang', 'Jin Ji Hee', 'Seo Shin Ae']",High Kick Through the Roof
"['Uhm Tae Woong', 'Lee Yo Won', 'Yoo Seung Ho', 'Go Hyun Jung', 'Kim Nam Gil', 'Lee Hyun Woo', 'Ahn Kil Kang', 'Park Ji Bin']",The Great Queen Seon Deok
"['Jeong Jinwoon', 'Park Jiyeon', 'Park Seo Joon', 'Kang Sora', 'Hyolyn', 'Jinyoung (GOT7)', 'Kwon Hae Hyo', 'Park Jin Young', 'Ye Eun', 'Noh Jung Ui', 'Kim Ji Soo (1990)', 'Kim Jung Tae', 'Jung Yeon Joo', 'Ailee', 'JB', 'Yoon Hee Suk', 'Yoo So Young', 'Park Kahi', 'Hwang Mi Sun']",Dream High 2
"['Im Siwan', 'Yoona', 'Hong Jong Hyun', 'Oh Min Seok', 'Jung Bo Suk', 'Jang Young Nam', 'Kim Ho Jin', 'Yoon Jong Hoon', 'Uhm Hyo Sup', 'Ki Do Hoon', 'Park Hwan Hee']",The King Loves
"['Lee Seung Gi', 'Ha Ji Won', 'Jo Jung Suk', 'Lee Yoon Ji', 'Lee Sung Min', 'Yum Dong Hun', 'Lee Si Eon', 'Fabien', 'Yoon Je Moon', 'Jung Man Sik', 'Choi Min', 'Jeon Gook Hwan', 'Lee Soon Jae', 'Ra Mi Ran', 'Choi Kwon', 'Youn Yuh Jung', 'Kang Han Byul', 'Lee Do Kyung', 'Lee Yun Kyung', 'Park Gun Tae']",The King 2 Hearts
"['Ryu Soo Young', 'Lee Da Hae', 'An Woo Yeon', 'Yoon Se Ah', 'Bae Soo Bin', 'Lee Deok Hwa', 'Moon Hee Kyung', 'Shim Hyung Tak', 'Hyejeong', 'Solbin']",The Good Witch
"['Lee Ki Woo', 'Lee Chung Ah', 'Jung Il Woo', 'Park Min Woo', 'Oh Hee Joon', 'Jo Yoon Woo', 'Song Jae Rim', 'Do Sang Woo', 'Seo Bum Suk', 'Kim Ye Won (1987)', 'Joo Hyun', 'Jung In Ki']",Flower Boy Ramyun Shop
"['Jang Hyuk', 'Son Yeo Eun', 'Ha Jun', 'Shin Eun Soo', 'Lee David', 'Kim Jaekyung', 'Kwon Eun Bin (of CLC)', 'Kim Wook', 'Park Ji Bin']",Bad Papa
"['Kim Yoon Jin', 'Jung Woong In', 'Go Sung Hee', 'Choi Kwang Je', 'Yoon Hae Young', 'Sung Ji Ru', 'Hwang Seok Jeong', 'Yoo Ji Soo', 'Shin Woo', 'Yoon Song Ah', 'Lee Ha Yul']","Ms Ma, Nemesis"
"['Jang Geun Suk', 'Yeo Jin Goo', 'Lim Ji Yeon', 'Jun Kwang Ryul', 'Choi Min Soo', 'Yoon Jin Seo', 'Yoon Ji Hye', 'Lee Moon Shik', 'Im Hyun Shik', 'Ji Il Joo', 'Ahn Kil Kang', 'Han Jung Soo', 'Song Jong Ho', 'Jun Soo Jin', 'Hyun Woo', 'Oh Yeon Ah']",Jackpot
"['Park Shin Yang', 'Go Hyun Jung', 'Lee Min Ji', 'Choi Seung Kyung', 'Jo Dal Hwan', 'Lee Mi Do', 'Yoon Joo Man', 'Byun Hee Bong', 'Son Byung Ho', 'Kim Pub Lae', 'Jung Hee Tae', 'Joo Jin Mo (1958)', 'Seo Yi Sook', 'Jeon Bae Soo']","My Lawyer, Mr. Joe 2: Crime and ..."
"['Jang Dong Yoon', 'Park Se Wan', 'Lee Joo Young', 'Shin Do Hyun', 'Lee Yoo Mi', 'Kim Su Hyun (2000)', 'Yeon Jae Hyeong', 'Jang Hyun Sung', 'Kim Sun Young (1976)', 'Jang Sung Bum', 'Kim Kap Soo']",Just Dance
