cast,title
"['Jun Ji Hyun', 'Kim Soo Hyun', 'Park Hae Jin', 'Yoo In Na', 'Shin Sung Rok', 'Ahn Jae Hyun', 'Na Young Hee', 'Kim Kang Hyun', 'Lee Il Hwa', 'Kim Bo Mi', 'Kim Hyun Soo']",My Love From the Star
"['Samuel', 'Ahn Seo Hyun', 'Kim So Hee', 'Ji Min Hyuk', 'Kim Ji Young', 'Park Hee Jin', 'Seo Yuri', 'Park Seo Yeon', 'Sung Ji Ru', 'Jung Jung Ah', 'Jung Min Kyu']",Revenge Note 2
"['Lee Min Ho', 'Ku Hye Sun', 'Kim Hyun Joong', 'Kim Bum', 'Kim Joon', 'Park Ji Bin', 'Nam Da Reum', 'Park Soo Jin', 'Kim So Eun', 'Kim Hyun Joo', 'Han Chae Young', 'Im Joo Hwan', 'Ahn Suk Hwan', 'Seo Min Ji']",Boys Over Flowers
"['Woo Do Hwan', 'Joy', 'Moon Ga Young', 'Kim Min Jae (1996)', 'Kim Seo Hyung', 'Shin Sung Woo', 'Jeon Mi Sun', 'Moon Hee Kyung', 'Lee Young Jin', 'Oh Ha Nee', 'Tae Hang Ho', 'Kim Ah Ra', 'Lee Jae Kyoon', 'Jung Ha Dam', 'Shin Chang Joo', 'Kim Do Wan', 'Kwon Yil']",Tempted
"['Yoo Ji Tae', 'Park Min Young', 'Ji Chang Wook', 'Woo Hyun', 'Jung Jun Won', 'Kim Mi Kyung', 'Park Sang Myun', 'Park Sang Won', 'Do Ji Won']",Healer
"['Lee Yoo Ri', 'Ryu Soo Young', 'Lee Joon', 'Jung So Min', 'Ryu Hwayoung', 'Kim Hae Sook', 'Kim Young Chul', 'Min Jin Woong', 'Jung Jun Won', 'Lee Mi Do', 'Ahn Hyo Seop', 'Lee Joon Hyuk', 'Kim Da Ye']",Father Is Strange
"['Choi Woo Shik', 'Wang Ji Won', 'Choi Jin Hyuk', 'Jang Nara', 'Jang Hyuk', 'Kim Young Hoon', 'Park Hee Bon', 'Jung Kyu Soo', 'Choi Dae Chul', 'Jang Gwang', 'Park Jin Woo', 'Clara', 'Song Ok Sook', 'Jung Eun Pyo', 'Lee Mi Do', 'Im Hyung Joon', 'Park Won Sook', 'Jung Han Hun', 'Kim Yong Gun', 'Na Young Hee', 'Park Hee Jin', 'Yang Keum Suk', 'Yun Mi Joo', 'Han Gyu']",Fated to Love You
"['So Yoo Jin', 'Yeon Jung Hoon', 'Yoon Jong Hoon', 'Kim Chang Wan', 'Kil Yong Woo', 'Jung Ae Ri', 'Park Joon Geum', 'Hwang Young Hee', 'Kwon So Hyun', 'Kim So Ra', 'So Ju Yeon', 'Kang Da Hyun', 'Ban Hyo Jung']",My Healing Love
"['Lee Min Ki', 'Jung So Min', 'Kim Ga Eun', 'Park Byung Eun', 'Esom', 'Moon Hee Kyung', 'Kim Min Suk', 'Jun Hye Won', 'Yoon Bomi', 'Kim Sun Young (1976)', 'Kim Byung Ok', 'Noh Jong Hyun', 'Kim Min Kyu']",Because This Is My First Life
"['Seo In Guk', 'Jung So Min', 'Park Sung Woong', 'Seo Eun Soo', 'Lee Hongbin', 'Do Sang Woo', 'Lee Ji Min', 'Go Min Si', 'Han Sa Myung', 'Park Min Jung', 'Kim Seo Kyung', 'Jang Young Nam', 'Choi Byung Mo', 'Kwon Soo Hyun']",The Smile Has Left Your Eyes
"['Lee Pil Mo', 'Park Shin Hye', 'Lee Jong Suk', 'Lee Yoo Bi', 'Kim Young Kwang', 'Min Sung Wook', 'Yoon Kyun Sang', 'Lee Joo Seung', 'Kim Hae Sook', 'Kim Young Hoon', 'Kim Kwang Gyu', 'Yeo Hoe Hyun', 'Jung In Ki', 'Nam Da Reum', 'Shin Jae Ha', 'Jang Young Nam', 'Shin Jung Geun', 'Kang Shin Il', 'Noh Jung Ui', 'Jin Kyung', 'Byun Hee Bong', 'Tae Hang Ho']",Pinocchio
"['Junho', 'Won Jin Ah', 'Lee Ki Woo', 'Kang Han Na', 'Kim Min Kyu', 'Park Myung Shin', 'Park Hee Bon', 'Yoon Se Ah', 'Kim Kang Hyun', 'Na Moon Hee', 'Tae In Ho', 'Park Si Eun (2001)', 'Nam Da Reum', 'Han Seo Jin (2008)', 'Ahn Nae Sang', 'Park Kyu Young', 'Yoon Yoo Sun', 'Nam Gi Ae', 'Kim Hye Joon', 'Kim Nam Jin']",Just Between Lovers
"['Jang Hyuk', 'Jung Ryeo Won', 'Junho', 'Lee Mi Sook', 'Jo Jae Yoon', 'Park Ji Young', 'Cha Joo Young', 'Jang Hui Ryoung', 'Lee Ki Hyuk', 'Tae Hang Ho', 'Kim Hyun Jun', 'Cha In Ha', 'Choi Won Myeong', 'Kim Sa Kwon', 'Im Won Hee', 'Oh Eui Sik', 'Hong Yoon Hwa']",Wok of Love
"['Park Seo Joon', 'Kim Ji Won', 'Ahn Jae Hong', 'Song Ha Yoon', 'Jin Ji Hee', 'Chae Dong Hyun', 'Pyo Ye Jin', 'Kim Sung Oh', 'Jin Hee Kyung', 'Son Byung Ho', 'Kwak Dong Yeon', 'Choi Woo Shik', 'Hwang Bo Ra', 'Lee Elijah', 'Kim Ye Ryung']",Fight My Way
"['Kim Rae Won', 'Park Shin Hye', 'Yoon Kyun Sang', 'Lee Sung Kyung', 'Ji Soo', 'Kim Min Suk', 'Baek Sung Hyun', 'Lee Sun Ho', 'Jung Hae Kyun', 'Jeon Gook Hwan', 'Jang Hyun Sung', 'Uhm Hyo Sup', 'Kim Kang Hyun', 'Yoon Hae Young', 'Moon Ji In', 'Yoo Da In', 'Kim Young Ae', 'Han Bo Bae', 'Namgoong Min', 'Pyo Ye Jin']",Doctors
