,rating,title,user
0,10,Thirty But Seventeen,snowglobeglitter
1,10,Thirty But Seventeen,priszant_643
2,10,Thirty But Seventeen,anna537
3,10,Thirty But Seventeen,mezesjane_399
4,10,Thirty But Seventeen,peppapig1239_82
5,10,Thirty But Seventeen,jojohay
6,8,Thirty But Seventeen,liobhan_514
7,10,Thirty But Seventeen,kfriram_955
8,10,Thirty But Seventeen,juracosta1410_358
9,10,Thirty But Seventeen,amay_lee
10,10,Thirty But Seventeen,pharmgal
11,4,Thirty But Seventeen,abena85
12,5,Thirty But Seventeen,amsdpvsf_280
13,10,Thirty But Seventeen,franksnelia003_258
14,7,Thirty But Seventeen,pkalili_234
15,10,Thirty But Seventeen,dougsie99_446
16,10,Thirty But Seventeen,amendonca_284
17,3,Thirty But Seventeen,sweetdavis23_443
18,8,Thirty But Seventeen,shannah_ginger_668
19,10,Thirty But Seventeen,diasrdia_13
20,10,Thirty But Seventeen,genie8820099_20
21,10,Thirty But Seventeen,srtapurple
22,3,Thirty But Seventeen,kpmayon1_944
23,10,Thirty But Seventeen,fely10960_757
24,6,Thirty But Seventeen,rae_star_161
25,9,Thirty But Seventeen,veenus_kalkal_419
26,9,Thirty But Seventeen,natalietiana_705
27,10,Thirty But Seventeen,kleapatra7
28,10,Thirty But Seventeen,buggygirl
29,10,Thirty But Seventeen,classy27d_983
30,10,Thirty But Seventeen,hanyojeong
31,10,Thirty But Seventeen,litobautista_310
32,10,Thirty But Seventeen,pitty_445
33,7,Thirty But Seventeen,dglee25_956
34,6,Thirty But Seventeen,jolena808_484
35,10,Thirty But Seventeen,abir77
36,7,Thirty But Seventeen,maddyson_627
37,10,Thirty But Seventeen,cheryljonz782_665
38,6,Thirty But Seventeen,52476637628816788689
39,10,Thirty But Seventeen,bellrosty_747
40,10,Thirty But Seventeen,elizabethpereira37_167
41,9,Thirty But Seventeen,capistrano_kt_128
42,10,Thirty But Seventeen,leighlovessimon_145
43,8,Thirty But Seventeen,lisafitzgerald10_715
44,10,Thirty But Seventeen,qscay
45,10,Thirty But Seventeen,noemalapira_727
46,10,Thirty But Seventeen,ahansen369_260
47,10,Thirty But Seventeen,kisekidream
48,6,Thirty But Seventeen,lucyismydoll
49,10,Thirty But Seventeen,loydasala17_568
50,10,Thirty But Seventeen,simizioana_857
51,10,Thirty But Seventeen,badran_adan
52,10,Thirty But Seventeen,emesvee26_246
53,4,Thirty But Seventeen,memckay_589
54,1,Thirty But Seventeen,thutran180_79
55,9,Thirty But Seventeen,fapconsorcios_976
56,6,Thirty But Seventeen,shoegirl8212_633
57,3,Thirty But Seventeen,anh_doan_7
58,7,Thirty But Seventeen,whitecrane71
59,10,Thirty But Seventeen,amypylee_255
60,10,Thirty But Seventeen,maritohmaoate_942
61,10,Thirty But Seventeen,melissan2583_952
62,10,Thirty But Seventeen,myriam_recio43_679
63,10,Thirty But Seventeen,magiccasements
64,10,Thirty But Seventeen,benny_agbayani
65,10,Thirty But Seventeen,serenity_svcs_281
66,4,Thirty But Seventeen,mami_jenny_855
67,10,Thirty But Seventeen,gpop5666
68,10,Thirty But Seventeen,fcroby_829
69,10,Thirty But Seventeen,shellarose1_68
70,10,Thirty But Seventeen,romanlover93_749
71,10,Thirty But Seventeen,faradeninou_94
72,8,Thirty But Seventeen,ankisalu_464
73,7,Thirty But Seventeen,ymontanez10_94
74,10,Thirty But Seventeen,pinkpoodle
75,10,Thirty But Seventeen,lanak12345_655
76,9,Thirty But Seventeen,sdafa321_868
77,10,Thirty But Seventeen,ladyang_718
78,10,Thirty But Seventeen,maryamkhalid1962_800
79,10,Thirty But Seventeen,bernadette1970
80,10,Thirty But Seventeen,kenzoamour
81,10,Thirty But Seventeen,bratbaby1000
82,10,Thirty But Seventeen,chopmedic1_352
83,10,Thirty But Seventeen,carmelahariyani_100
84,8,Thirty But Seventeen,norma_gonzalez_4
85,10,Thirty But Seventeen,nfarias
86,9,Thirty But Seventeen,smitch
87,10,Thirty But Seventeen,tropicalms
88,10,Thirty But Seventeen,xelosoriano65_635
89,10,Thirty But Seventeen,chicky1175_394
90,10,Thirty But Seventeen,doozeit79_364
91,10,Thirty But Seventeen,dorothy_edna_69
92,10,Thirty But Seventeen,kellykang20101_621
93,10,Thirty But Seventeen,jocyperini_326
94,10,Thirty But Seventeen,jacnic112_604
95,10,Thirty But Seventeen,mckaycdia_427
96,10,Thirty But Seventeen,artchick16_480
97,10,Thirty But Seventeen,hmaristela_288
98,9,Thirty But Seventeen,habibahtu18_463
99,10,Thirty But Seventeen,sista_washington
100,9,Thirty But Seventeen,kmax
101,8,Thirty But Seventeen,ttherissa_295
102,10,Thirty But Seventeen,rmheyward_736
103,8,Thirty But Seventeen,azzurro
104,10,Thirty But Seventeen,raquelesquivel2011_611
105,10,Thirty But Seventeen,yengcm12_650
106,10,Thirty But Seventeen,dilsia296_183
107,10,Thirty But Seventeen,gloria_maestre
108,10,Thirty But Seventeen,capricornio_as_507
109,10,Thirty But Seventeen,albaz514_562
110,10,Thirty But Seventeen,alanamohammed2014_653
111,10,Thirty But Seventeen,sumxiongluv
112,10,Thirty But Seventeen,prettyone1
113,10,Thirty But Seventeen,amandasilvagomes02_178
114,10,Thirty But Seventeen,farhatjan580_779
115,9,Thirty But Seventeen,1378022158931225_293
116,10,Thirty But Seventeen,givemekeopi
117,10,Thirty But Seventeen,ritawhitaker66_505
118,1,Thirty But Seventeen,patriarcha
119,10,Thirty But Seventeen,iggsta3o5
120,9,Thirty But Seventeen,laylaloves18_799
121,10,Thirty But Seventeen,ljblavatai801
122,10,Thirty But Seventeen,reemalam145_556
123,10,Thirty But Seventeen,nymiemie_463
124,10,Thirty But Seventeen,1376825815697795_679
125,10,Thirty But Seventeen,valeroalejandro120_800
126,10,Thirty But Seventeen,3001id_540
127,1,Thirty But Seventeen,rqlramos9_647
128,10,Thirty But Seventeen,anatucita24_124
129,10,Thirty But Seventeen,allrosepajo_559
130,10,Thirty But Seventeen,aloha_mag_238
131,10,Thirty But Seventeen,quelnunes16_543
132,10,Thirty But Seventeen,alexbadel73_yahoo_co
133,10,Thirty But Seventeen,candyfred2001_619
134,5,Thirty But Seventeen,momocj88_559
135,10,Thirty But Seventeen,gomesgenarioana_454
136,10,Thirty But Seventeen,smalbran_220
137,10,Thirty But Seventeen,marymazamg_243
138,9,Thirty But Seventeen,keirakapoor13_787
139,10,Thirty But Seventeen,10211629486909224_874
140,5,Thirty But Seventeen,tsao_411
141,5,Thirty But Seventeen,78731936874514685182
142,10,Thirty But Seventeen,cassiajackeline_98
143,5,Thirty But Seventeen,ydoan2
144,10,Thirty But Seventeen,jazbakainatmangi_700
145,10,Thirty But Seventeen,nina_her_3
146,10,Thirty But Seventeen,marphilnkc3_908
147,9,Thirty But Seventeen,thedevilkitty2_gm_278
148,10,Thirty But Seventeen,kimmcm143_515
149,10,Thirty But Seventeen,dafne88
150,10,Thirty But Seventeen,276780066285436_19
151,8,Thirty But Seventeen,smithashetty4258_357
152,10,Thirty But Seventeen,aprilbr48_378
153,10,Thirty But Seventeen,gaiathera_891
154,10,Thirty But Seventeen,meiby31_mv_262
155,10,Thirty But Seventeen,megchua12_729
156,10,Thirty But Seventeen,yazairavalenzuela88_396
157,10,Thirty But Seventeen,karilysp
158,10,Thirty But Seventeen,Ejudale
159,8,Thirty But Seventeen,mk95755
160,10,Thirty But Seventeen,artsyannemarie16_57
161,10,Thirty But Seventeen,kimberly_mendoza_sal_147
162,10,Thirty But Seventeen,340046346457105_962
163,3,Thirty But Seventeen,nbtraveletv
164,8,Thirty But Seventeen,bleu_lapin
165,10,Thirty But Seventeen,poltess5_617
166,10,Thirty But Seventeen,dm9334
167,10,Thirty But Seventeen,boohitsme
168,10,Thirty But Seventeen,rocky33399_117
169,7,Thirty But Seventeen,lee3cats
170,9,Thirty But Seventeen,gabrielaelianagonzal_431
171,10,Thirty But Seventeen,the_dorota_97
